Instance	Init_Label	NH_Label	Pivot_Label	FinalCost	BestKnown	RPD	Time
instances/N-be75eec_150	CW	Exchange	Best	3389592	3482828	2.67701993896914	0.116705
instances/N-be75eec_250	CW	Exchange	Best	8634516	8893533	2.9124196199643	1.143809
instances/N-be75np_150	CW	Exchange	Best	6916233	7174325	3.59743948036923	0.111746
instances/N-be75np_250	CW	Exchange	Best	17290912	17814072	2.93677941797922	1.454543
instances/N-be75oi_150	CW	Exchange	Best	2196375	2246534	2.23272828276803	0.091783
instances/N-be75oi_250	CW	Exchange	Best	5724181	5910096	3.1457187835866	1.248956
instances/N-be75tot_150	CW	Exchange	Best	11787610	12287707	4.06989684894016	0.096754
instances/N-be75tot_250	CW	Exchange	Best	30028596	30958609	3.00405292757178	1.184732
instances/N-stabu1_150	CW	Exchange	Best	2791619	2875732	2.92492485391546	0.102668
instances/N-stabu1_250	CW	Exchange	Best	7468950	7742444	3.53239881360459	1.240594
instances/N-stabu2_150	CW	Exchange	Best	4198173	4327538	2.98934405659754	0.11417
instances/N-stabu2_250	CW	Exchange	Best	11096350	11500448	3.51375876835407	1.142038
instances/N-stabu3_150	CW	Exchange	Best	4440008	4510445	1.56164192224936	0.118992
instances/N-stabu3_250	CW	Exchange	Best	11578820	11900315	2.70156714339074	1.408597
instances/N-t59b11xx_150	CW	Exchange	Best	3125225	3239550	3.52903952709481	0.084924
instances/N-t59b11xx_250	CW	Exchange	Best	8166595	8411910	2.91628179569206	1.080377
instances/N-t59d11xx_150	CW	Exchange	Best	1408438	1462697	3.70951741885025	0.092373
instances/N-t59d11xx_250	CW	Exchange	Best	3736092	3841167	2.73549679042853	1.065947
instances/N-t59f11xx_150	CW	Exchange	Best	1484951	1543733	3.80778282254768	0.093687
instances/N-t59f11xx_250	CW	Exchange	Best	3832493	3993006	4.01985371421931	0.976076
instances/N-t59n11xx_150	CW	Exchange	Best	307258	318960	3.66879859543516	0.086351
instances/N-t59n11xx_250	CW	Exchange	Best	799607	825608	3.14931541361033	1.314076
instances/N-t65b11xx_150	CW	Exchange	Best	6273505	6453836	2.79416768569886	0.103239
instances/N-t65b11xx_250	CW	Exchange	Best	16645016	17273996	3.6411957024883	1.085523
instances/N-t65d11xx_150	CW	Exchange	Best	3458811	3559347	2.82456304485064	0.116648
instances/N-t65d11xx_250	CW	Exchange	Best	9062434	9351696	3.09315016228072	1.199045
instances/N-t65f11xx_150	CW	Exchange	Best	3031145	3159326	4.05722612987707	0.117849
instances/N-t65f11xx_250	CW	Exchange	Best	8169807	8409567	2.85103858498303	1.286161
instances/N-t65l11xx_150	CW	Exchange	Best	248236	253396	2.0363383794535	0.093911
instances/N-t65l11xx_250	CW	Exchange	Best	645983	666254	3.04253332813011	1.027003
instances/N-t65n11xx_150	CW	Exchange	Best	531386	550733	3.51295455329534	0.104988
instances/N-t65n11xx_250	CW	Exchange	Best	1384355	1429362	3.14874748314283	1.150001
instances/N-t69r11xx_150	CW	Exchange	Best	11345563	11855957	4.30495825853619	0.101533
instances/N-t69r11xx_250	CW	Exchange	Best	30778720	31815927	3.26002445253285	1.371589
instances/N-t70b11xx_150	CW	Exchange	Best	9326461	9647229	3.3249754929628	0.102214
instances/N-t70b11xx_250	CW	Exchange	Best	24548796	25403045	3.36278190272072	1.175491
instances/N-t70d11xn_150	CW	Exchange	Best	5635114	5825147	3.26228677147547	0.113851
instances/N-t70d11xn_250	CW	Exchange	Best	14797694	15207063	2.69196622648305	1.310853
instances/N-t70d11xx_150	CW	Exchange	Best	5993407	6174178	2.92785533556046	0.112613
instances/N-t70d11xx_250	CW	Exchange	Best	15590710	16040574	2.80453804209251	1.398987
instances/N-t70f11xx_150	CW	Exchange	Best	4923052	5150097	4.40855774172797	0.110209
instances/N-t70f11xx_250	CW	Exchange	Best	13127167	13586135	3.37820874001326	1.382157
instances/N-t70l11xx_150	CW	Exchange	Best	413124	436862	5.43375253512551	0.104945
instances/N-t70l11xx_250	CW	Exchange	Best	1075110	1113128	3.41542032901877	1.175993
instances/N-t70n11xx_150	CW	Exchange	Best	915583	948913	3.5124400234795	0.159247
instances/N-t70n11xx_250	CW	Exchange	Best	2357276	2444390	3.56383392175553	1.387208
instances/N-t74d11xx_150	CW	Exchange	Best	9084725	9396044	3.31329866058524	0.150697
instances/N-t74d11xx_250	CW	Exchange	Best	23624705	24430250	3.29732606092856	1.399533
instances/N-t75d11xx_150	CW	Exchange	Best	9288455	9642140	3.66811724368242	0.11166
instances/N-t75d11xx_250	CW	Exchange	Best	24356638	25017059	2.63988264967517	1.784976
instances/N-t75e11xx_150	CW	Exchange	Best	40331157	41570193	2.98058755705079	0.119029
instances/N-t75e11xx_250	CW	Exchange	Best	102968979	106873878	3.65374502457935	1.443148
instances/N-t75k11xx_150	CW	Exchange	Best	1497313	1541596	2.87254248194728	0.116778
instances/N-t75k11xx_250	CW	Exchange	Best	3966756	4093849	3.104486755618	1.37105
instances/N-t75n11xx_150	CW	Exchange	Best	1676127	1743094	3.84184673918905	0.10362
instances/N-t75n11xx_250	CW	Exchange	Best	4410736	4524942	2.52392185358398	1.391051
instances/N-tiw56n54_150	CW	Exchange	Best	810340	837945	3.29436896216339	0.113931
instances/N-tiw56n54_250	CW	Exchange	Best	2028520	2098726	3.34517226164826	1.152479
instances/N-tiw56n58_150	CW	Exchange	Best	1109437	1155392	3.97743796044979	0.112998
instances/N-tiw56n58_250	CW	Exchange	Best	2801511	2906657	3.61742028729224	1.246693
instances/N-tiw56n62_150	CW	Exchange	Best	1569277	1626921	3.54313454679115	0.136605
instances/N-tiw56n62_250	CW	Exchange	Best	4020401	4142745	2.9532109748488	1.344849
instances/N-tiw56n66_150	CW	Exchange	Best	2031972	2107619	3.5892160774789	0.103965
instances/N-tiw56n66_250	CW	Exchange	Best	5192494	5370404	3.31278615165637	1.234233
instances/N-tiw56n67_150	CW	Exchange	Best	2287351	2372926	3.60630714990691	0.092329
instances/N-tiw56n67_250	CW	Exchange	Best	6145530	6324858	2.83528895036062	1.331823
instances/N-tiw56n72_150	CW	Exchange	Best	4001431	4135907	3.25142707512524	0.115529
instances/N-tiw56n72_250	CW	Exchange	Best	10824279	11149706	2.9187047622601	1.326819
instances/N-tiw56r54_150	CW	Exchange	Best	920626	958192	3.92050862457629	0.092981
instances/N-tiw56r54_250	CW	Exchange	Best	2311622	2387349	3.17201213563664	1.494906
instances/N-tiw56r58_150	CW	Exchange	Best	1183334	1219295	2.94932727518771	0.126494
instances/N-tiw56r58_250	CW	Exchange	Best	2959355	3060323	3.29925958795853	1.284884
instances/N-tiw56r66_150	CW	Exchange	Best	1877090	1940755	3.28042437092781	0.116112
instances/N-tiw56r66_250	CW	Exchange	Best	4804410	4948414	2.91010412629178	1.236992
instances/N-tiw56r67_150	CW	Exchange	Best	1988378	2056347	3.30532735963337	0.116652
instances/N-tiw56r67_250	CW	Exchange	Best	5097003	5289658	3.6421069188216	1.249569
instances/N-tiw56r72_150	CW	Exchange	Best	2712003	2823758	3.95766917703288	0.105551
instances/N-tiw56r72_250	CW	Exchange	Best	7221018	7451579	3.09412273559738	1.500301
instances/N-be75eec_150	Random	Exchange	Best	3370646	3482828	3.2210031617984	0.164394
instances/N-be75eec_250	Random	Exchange	Best	8589659	8893533	3.41679735151373	1.382025
instances/N-be75np_150	Random	Exchange	Best	6937823	7174325	3.29650524613814	0.105082
instances/N-be75np_250	Random	Exchange	Best	17120472	17814072	3.89355112070952	1.341028
instances/N-be75oi_150	Random	Exchange	Best	2206582	2246534	1.77838394611433	0.134285
instances/N-be75oi_250	Random	Exchange	Best	5743334	5910096	2.8216462135302	1.333797
instances/N-be75tot_150	Random	Exchange	Best	11788049	12287707	4.066324172606	0.101968
instances/N-be75tot_250	Random	Exchange	Best	29877673	30958609	3.49155222057942	1.335219
instances/N-stabu1_150	Random	Exchange	Best	2769345	2875732	3.69947547267965	0.106848
instances/N-stabu1_250	Random	Exchange	Best	7529820	7742444	2.74621295291254	1.517199
instances/N-stabu2_150	Random	Exchange	Best	4231238	4327538	2.22528375256324	0.128392
instances/N-stabu2_250	Random	Exchange	Best	11086653	11500448	3.5980772227308	1.338614
instances/N-stabu3_150	Random	Exchange	Best	4350861	4510445	3.53809879069582	0.099828
instances/N-stabu3_250	Random	Exchange	Best	11549906	11900315	2.94453550179134	1.455448
instances/N-t59b11xx_150	Random	Exchange	Best	3127495	3239550	3.45896806655245	0.094356
instances/N-t59b11xx_250	Random	Exchange	Best	8109395	8411910	3.59627005044039	1.344516
instances/N-t59d11xx_150	Random	Exchange	Best	1408677	1462697	3.69317773947714	0.106949
instances/N-t59d11xx_250	Random	Exchange	Best	3714911	3841167	3.28691775181865	1.180925
