Instance;Init;Neighborhood;Pivot;InitialCost;FinalCost;Time
instances/N-be75eec_150;0;0;0;2076910;2110005;0.000862
instances/N-be75eec_150;0;0;1;2076910;2116936;0.001668
instances/N-be75eec_150;0;1;0;2076910;3397099;0.549232
instances/N-be75eec_150;0;1;1;2076910;3370646;0.164394
instances/N-be75eec_150;0;2;0;2076910;3419060;0.482267
instances/N-be75eec_150;0;2;1;2076910;3422308;0.124994
instances/N-be75eec_150;1;0;0;2757802;2796430;0.000842
instances/N-be75eec_150;1;0;1;2757802;2796967;0.001883
instances/N-be75eec_150;1;1;0;2757802;3393632;0.451153
instances/N-be75eec_150;1;1;1;2757802;3389592;0.116705
instances/N-be75eec_150;1;2;0;2757802;3419503;0.334287
instances/N-be75eec_150;1;2;1;2757802;3432632;0.120233
instances/N-be75eec_250;0;0;0;5590936;5668583;0.008070
instances/N-be75eec_250;0;0;1;5590936;5665677;0.011859
instances/N-be75eec_250;0;1;0;5590936;8707547;9.964924
instances/N-be75eec_250;0;1;1;5590936;8589659;1.382025
instances/N-be75eec_250;0;2;0;5590936;8695911;7.459130
instances/N-be75eec_250;0;2;1;5590936;8661395;1.363991
instances/N-be75eec_250;1;0;0;7066158;7096839;0.004396
instances/N-be75eec_250;1;0;1;7066158;7171165;0.007887
instances/N-be75eec_250;1;1;0;7066158;8696458;6.501324
instances/N-be75eec_250;1;1;1;7066158;8634516;1.143809
instances/N-be75eec_250;1;2;0;7066158;8741350;5.077083
instances/N-be75eec_250;1;2;1;7066158;8735780;1.213029
instances/N-be75np_150;0;0;0;4732549;4809500;0.001027
instances/N-be75np_150;0;0;1;4732549;4807943;0.002165
instances/N-be75np_150;0;1;0;4732549;7002130;0.541991
instances/N-be75np_150;0;1;1;4732549;6937823;0.105082
instances/N-be75np_150;0;2;0;4732549;7116303;0.476978
instances/N-be75np_150;0;2;1;4732549;7044246;0.124637
instances/N-be75np_150;1;0;0;5606444;5697607;0.001245
instances/N-be75np_150;1;0;1;5606444;5723745;0.002496
instances/N-be75np_150;1;1;0;5606444;7023689;0.426103
instances/N-be75np_150;1;1;1;5606444;6916233;0.111746
instances/N-be75np_150;1;2;0;5606444;7082252;0.523893
instances/N-be75np_150;1;2;1;5606444;6998024;0.167231
instances/N-be75np_250;0;0;0;11650823;11908894;0.005366
instances/N-be75np_250;0;0;1;11650823;11849453;0.010267
instances/N-be75np_250;0;1;0;11650823;17401607;9.744327
instances/N-be75np_250;0;1;1;11650823;17120472;1.341028
instances/N-be75np_250;0;2;0;11650823;17437911;8.252000
instances/N-be75np_250;0;2;1;11650823;17438981;1.327706
instances/N-be75np_250;1;0;0;14371573;14517623;0.005049
instances/N-be75np_250;1;0;1;14371573;14534276;0.009712
instances/N-be75np_250;1;1;0;14371573;17421054;8.099259
instances/N-be75np_250;1;1;1;14371573;17290912;1.454543
instances/N-be75np_250;1;2;0;14371573;17545396;5.767605
instances/N-be75np_250;1;2;1;14371573;17507413;1.558038
instances/N-be75oi_150;0;0;0;1485079;1494458;0.001079
instances/N-be75oi_150;0;0;1;1485079;1494457;0.003862
instances/N-be75oi_150;0;1;0;1485079;2200985;0.600750
instances/N-be75oi_150;0;1;1;1485079;2206582;0.134285
instances/N-be75oi_150;0;2;0;1485079;2212119;0.436152
instances/N-be75oi_150;0;2;1;1485079;2212618;0.121373
instances/N-be75oi_150;1;0;0;1885382;1912734;0.000771
instances/N-be75oi_150;1;0;1;1885382;1924359;0.001487
instances/N-be75oi_150;1;1;0;1885382;2201037;0.406060
instances/N-be75oi_150;1;1;1;1885382;2196375;0.091783
instances/N-be75oi_150;1;2;0;1885382;2216722;0.308191
instances/N-be75oi_150;1;2;1;1885382;2207498;0.111295
instances/N-be75oi_250;0;0;0;2941506;2961478;0.006208
instances/N-be75oi_250;0;0;1;2941506;2974767;0.010641
instances/N-be75oi_250;0;1;0;2941506;5761454;10.924483
instances/N-be75oi_250;0;1;1;2941506;5743334;1.333797
instances/N-be75oi_250;0;2;0;2941506;5784346;6.977523
instances/N-be75oi_250;0;2;1;2941506;5748063;1.441890
instances/N-be75oi_250;1;0;0;4848677;4875119;0.002908
instances/N-be75oi_250;1;0;1;4848677;4873485;0.005290
instances/N-be75oi_250;1;1;0;4848677;5816265;8.350505
instances/N-be75oi_250;1;1;1;4848677;5724181;1.248956
instances/N-be75oi_250;1;2;0;4848677;5807384;4.327704
instances/N-be75oi_250;1;2;1;4848677;5812662;1.454780
instances/N-be75tot_150;0;0;0;7568224;7763504;0.001392
instances/N-be75tot_150;0;0;1;7568224;7759919;0.002317
instances/N-be75tot_150;0;1;0;7568224;11881492;0.597869
instances/N-be75tot_150;0;1;1;7568224;11788049;0.101968
instances/N-be75tot_150;0;2;0;7568224;11936955;0.441864
instances/N-be75tot_150;0;2;1;7568224;11989949;0.140314
instances/N-be75tot_150;1;0;0;9420023;9532263;0.001448
instances/N-be75tot_150;1;0;1;9420023;9586457;0.002867
instances/N-be75tot_150;1;1;0;9420023;11998690;0.515924
instances/N-be75tot_150;1;1;1;9420023;11787610;0.096754
instances/N-be75tot_150;1;2;0;9420023;12039970;0.386753
instances/N-be75tot_150;1;2;1;9420023;11946503;0.122683
instances/N-be75tot_250;0;0;0;20229878;20410636;0.005183
instances/N-be75tot_250;0;0;1;20229878;20495488;0.010058
instances/N-be75tot_250;0;1;0;20229878;30351180;9.338051
instances/N-be75tot_250;0;1;1;20229878;29877673;1.335219
instances/N-be75tot_250;0;2;0;20229878;30500814;7.527323
instances/N-be75tot_250;0;2;1;20229878;30318649;1.338619
instances/N-be75tot_250;1;0;0;24954878;25213587;0.005332
instances/N-be75tot_250;1;0;1;24954878;25308682;0.009324
instances/N-be75tot_250;1;1;0;24954878;30292975;8.078981
instances/N-be75tot_250;1;1;1;24954878;30028596;1.184732
instances/N-be75tot_250;1;2;0;24954878;30509979;5.301169
instances/N-be75tot_250;1;2;1;24954878;30200331;1.255442
instances/N-stabu1_150;0;0;0;1799809;1827538;0.001696
instances/N-stabu1_150;0;0;1;1799809;1836079;0.004478
instances/N-stabu1_150;0;1;0;1799809;2800349;0.654786
instances/N-stabu1_150;0;1;1;1799809;2769345;0.106848
instances/N-stabu1_150;0;2;0;1799809;2824108;0.599418
instances/N-stabu1_150;0;2;1;1799809;2815434;0.129416
instances/N-stabu1_150;1;0;0;2282133;2317387;0.001423
instances/N-stabu1_150;1;0;1;2282133;2319068;0.002354
instances/N-stabu1_150;1;1;0;2282133;2807790;0.529876
instances/N-stabu1_150;1;1;1;2282133;2791619;0.102668
instances/N-stabu1_150;1;2;0;2282133;2843710;0.433702
instances/N-stabu1_150;1;2;1;2282133;2850407;0.136153
instances/N-stabu1_250;0;0;0;4773383;4880794;0.005170
instances/N-stabu1_250;0;0;1;4773383;4871705;0.011257
instances/N-stabu1_250;0;1;0;4773383;7551833;9.759432
instances/N-stabu1_250;0;1;1;4773383;7529820;1.517199
instances/N-stabu1_250;0;2;0;4773383;7623629;8.824507
instances/N-stabu1_250;0;2;1;4773383;7565869;1.374664
instances/N-stabu1_250;1;0;0;6274331;6421099;0.006034
instances/N-stabu1_250;1;0;1;6274331;6421651;0.010580
instances/N-stabu1_250;1;1;0;6274331;7583496;7.770095
instances/N-stabu1_250;1;1;1;6274331;7468950;1.240594
instances/N-stabu1_250;1;2;0;6274331;7616727;5.278815
instances/N-stabu1_250;1;2;1;6274331;7602045;1.489881
instances/N-stabu2_150;0;0;0;2664889;2726108;0.001667
instances/N-stabu2_150;0;0;1;2664889;2730307;0.001984
instances/N-stabu2_150;0;1;0;2664889;4215338;0.701125
instances/N-stabu2_150;0;1;1;2664889;4231238;0.128392
instances/N-stabu2_150;0;2;0;2664889;4259868;0.612049
instances/N-stabu2_150;0;2;1;2664889;4224250;0.117288
instances/N-stabu2_150;1;0;0;3383526;3453222;0.001322
instances/N-stabu2_150;1;0;1;3383526;3486171;0.002506
instances/N-stabu2_150;1;1;0;3383526;4246526;0.548578
instances/N-stabu2_150;1;1;1;3383526;4198173;0.114170
instances/N-stabu2_150;1;2;0;3383526;4277749;0.368298
instances/N-stabu2_150;1;2;1;3383526;4274892;0.107297
instances/N-stabu2_250;0;0;0;8004172;8062091;0.004932
instances/N-stabu2_250;0;0;1;8004172;8105175;0.009970
instances/N-stabu2_250;0;1;0;8004172;11173048;8.796175
instances/N-stabu2_250;0;1;1;8004172;11086653;1.338614
instances/N-stabu2_250;0;2;0;8004172;11246083;8.122371
instances/N-stabu2_250;0;2;1;8004172;11282792;1.409367
instances/N-stabu2_250;1;0;0;9257449;9355096;0.004399
instances/N-stabu2_250;1;0;1;9257449;9369564;0.008918
instances/N-stabu2_250;1;1;0;9257449;11214081;8.342729
instances/N-stabu2_250;1;1;1;9257449;11096350;1.142038
instances/N-stabu2_250;1;2;0;9257449;11254620;5.404203
