"Algo1","Algo2","p.value","significant"
"Exchange-Best (CW)","Exchange-Best (Random)",0,"YES *"
"Exchange-Best (CW)","Exchange-First (CW)",0,"YES *"
"Exchange-Best (CW)","Exchange-First (Random)",0,"YES *"
"Exchange-Best (CW)","Insert-Best (CW)",0,"YES *"
"Exchange-Best (CW)","Insert-Best (Random)",0,"YES *"
"Exchange-Best (CW)","Insert-First (CW)",0,"YES *"
"Exchange-Best (CW)","Insert-First (Random)",0,"YES *"
"Exchange-Best (CW)","Transpose-Best (CW)",0,"YES *"
"Exchange-Best (CW)","Transpose-Best (Random)",0,"YES *"
"Exchange-Best (CW)","Transpose-First (CW)",0,"YES *"
"Exchange-Best (CW)","Transpose-First (Random)",0,"YES *"
"Exchange-Best (Random)","Exchange-First (CW)",0,"YES *"
"Exchange-Best (Random)","Exchange-First (Random)",0,"YES *"
"Exchange-Best (Random)","Insert-Best (CW)",0,"YES *"
"Exchange-Best (Random)","Insert-Best (Random)",0,"YES *"
"Exchange-Best (Random)","Insert-First (CW)",0,"YES *"
"Exchange-Best (Random)","Insert-First (Random)",0,"YES *"
"Exchange-Best (Random)","Transpose-Best (CW)",0,"YES *"
"Exchange-Best (Random)","Transpose-Best (Random)",0,"YES *"
"Exchange-Best (Random)","Transpose-First (CW)",0,"YES *"
"Exchange-Best (Random)","Transpose-First (Random)",0,"YES *"
"Exchange-First (CW)","Exchange-First (Random)",0,"YES *"
"Exchange-First (CW)","Insert-Best (CW)",0,"YES *"
"Exchange-First (CW)","Insert-Best (Random)",0.0043,"YES *"
"Exchange-First (CW)","Insert-First (CW)",0,"YES *"
"Exchange-First (CW)","Insert-First (Random)",0,"YES *"
"Exchange-First (CW)","Transpose-Best (CW)",0,"YES *"
"Exchange-First (CW)","Transpose-Best (Random)",0,"YES *"
"Exchange-First (CW)","Transpose-First (CW)",0,"YES *"
"Exchange-First (CW)","Transpose-First (Random)",0,"YES *"
"Exchange-First (Random)","Insert-Best (CW)",0,"YES *"
"Exchange-First (Random)","Insert-Best (Random)",0,"YES *"
"Exchange-First (Random)","Insert-First (CW)",0,"YES *"
"Exchange-First (Random)","Insert-First (Random)",0,"YES *"
"Exchange-First (Random)","Transpose-Best (CW)",0,"YES *"
"Exchange-First (Random)","Transpose-Best (Random)",0,"YES *"
"Exchange-First (Random)","Transpose-First (CW)",0,"YES *"
"Exchange-First (Random)","Transpose-First (Random)",0,"YES *"
"Insert-Best (CW)","Insert-Best (Random)",0,"YES *"
"Insert-Best (CW)","Insert-First (CW)",0,"YES *"
"Insert-Best (CW)","Insert-First (Random)",0.9404,"no"
"Insert-Best (CW)","Transpose-Best (CW)",0,"YES *"
"Insert-Best (CW)","Transpose-Best (Random)",0,"YES *"
"Insert-Best (CW)","Transpose-First (CW)",0,"YES *"
"Insert-Best (CW)","Transpose-First (Random)",0,"YES *"
"Insert-Best (Random)","Insert-First (CW)",0,"YES *"
"Insert-Best (Random)","Insert-First (Random)",0,"YES *"
"Insert-Best (Random)","Transpose-Best (CW)",0,"YES *"
"Insert-Best (Random)","Transpose-Best (Random)",0,"YES *"
"Insert-Best (Random)","Transpose-First (CW)",0,"YES *"
"Insert-Best (Random)","Transpose-First (Random)",0,"YES *"
"Insert-First (CW)","Insert-First (Random)",0,"YES *"
"Insert-First (CW)","Transpose-Best (CW)",0,"YES *"
"Insert-First (CW)","Transpose-Best (Random)",0,"YES *"
"Insert-First (CW)","Transpose-First (CW)",0,"YES *"
"Insert-First (CW)","Transpose-First (Random)",0,"YES *"
"Insert-First (Random)","Transpose-Best (CW)",0,"YES *"
"Insert-First (Random)","Transpose-Best (Random)",0,"YES *"
"Insert-First (Random)","Transpose-First (CW)",0,"YES *"
"Insert-First (Random)","Transpose-First (Random)",0,"YES *"
"Transpose-Best (CW)","Transpose-Best (Random)",0,"YES *"
"Transpose-Best (CW)","Transpose-First (CW)",0,"YES *"
"Transpose-Best (CW)","Transpose-First (Random)",0,"YES *"
"Transpose-Best (Random)","Transpose-First (CW)",0,"YES *"
"Transpose-Best (Random)","Transpose-First (Random)",0,"YES *"
"Transpose-First (CW)","Transpose-First (Random)",0,"YES *"
