"InstanceBase","AlgoLabel","FinalCost","BestKnown","RPD","Time"
"N-be75eec_150","ACO",6865525,3482828,-97.1250087572513,114.250807
"N-be75eec_150","SA",3471378,3482828,0.328755827161146,102.6408
"N-be75np_150","ACO",9368033,7174325,-30.5772041272175,105.118817
"N-be75np_150","SA",7149175,7174325,0.350555627184439,102.640846
"N-be75oi_150","ACO",3644095,2246534,-62.2096527361705,102.807509
"N-be75oi_150","SA",2240170,2246534,0.283280822814166,102.640834
"N-be75tot_150","ACO",15496773,12287707,-26.116068685557,109.076526
"N-be75tot_150","SA",12242755,12287707,0.365829035474235,102.640811
"N-stabu1_150","ACO",7074254,2875732,-145.998375370167,105.360482
"N-stabu1_150","SA",2863985,2875732,0.408487299929201,102.64085
"N-stabu2_150","ACO",11730465,4327538,-171.065557367723,105.322547
"N-stabu2_150","SA",4317815,4327538,0.22467740317936,102.640789
"N-stabu3_150","ACO",9853918,4510445,-118.468865045467,105.063221
"N-stabu3_150","SA",4483115,4510445,0.605926909650822,102.640805
"N-t59b11xx_150","ACO",4366505,3239550,-34.7873933107993,108.354239
"N-t59b11xx_150","SA",3215400,3239550,0.745473908413206,102.640843
"N-t59d11xx_150","ACO",1844291,1462697,-26.088383308368,103.26183
"N-t59d11xx_150","SA",1460471,1462697,0.152184628805556,102.640811
"N-t59f11xx_150","ACO",14576372,1543733,-844.228827135262,109.419989
"N-t59f11xx_150","SA",1534464,1543733,0.600427664628534,102.640842
"N-t59n11xx_150","ACO",738742,318960,-131.609606220216,114.411193
"N-t59n11xx_150","SA",318475,318960,0.152056684223727,102.640808
"N-t65b11xx_150","ACO",10482698,6453836,-62.4258503005034,106.945425
"N-t65b11xx_150","SA",6421123,6453836,0.506876840378342,102.640836
"N-t65d11xx_150","ACO",10165972,3559347,-185.613400435529,114.443861
"N-t65d11xx_150","SA",3547344,3559347,0.337224777466204,102.640844
"N-t65f11xx_150","ACO",4431647,3159326,-40.2719124268911,114.893679
"N-t65f11xx_150","SA",3147842,3159326,0.36349525183536,102.640807
"N-t65l11xx_150","ACO",383790,253396,-51.4585865601667,112.286824
"N-t65l11xx_150","SA",252114,253396,0.505927481096781,102.640777
"N-t65n11xx_150","ACO",2591110,550733,-370.48388238947,112.025035
"N-t65n11xx_150","SA",548205,550733,0.459024609021068,102.640831
"N-t69r11xx_150","ACO",21042485,11855957,-77.4844915513779,104.649099
"N-t69r11xx_150","SA",11823337,11855957,0.275135950644895,102.640837
"N-t70b11xx_150","ACO",12465327,9647229,-29.2114761658503,105.091571
"N-t70b11xx_150","SA",9609038,9647229,0.395875333735729,102.64082
"N-t70d11xn_150","ACO",7654360,5825147,-31.4020058206256,108.466403
"N-t70d11xn_150","SA",5796444,5825147,0.49274292992091,102.640834
"N-t70d11xx_150","ACO",8325435,6174178,-34.8428082248358,107.008016
"N-t70d11xx_150","SA",6132840,6174178,0.66953042170148,102.640797
"N-t70f11xx_150","ACO",6480671,5150097,-25.8359017315596,110.215957
