"InstanceBase","Instance","Algo","Seed","FinalCost","Time","BestKnown","RPD"
"N-be75eec_150","N-be75eec_150","SA",1,3464984,1026.390821,3482828,0.512342268983711
"N-be75eec_150","N-be75eec_150","ACO",1,6865525,1027.333977,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",2,3464470,1026.390857,3482828,0.527100390831818
"N-be75eec_150","N-be75eec_150","ACO",2,6865525,1030.069175,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",3,3466726,1026.390822,3482828,0.462325443576312
"N-be75eec_150","N-be75eec_150","ACO",3,6865525,1031.542207,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",4,3466139,1026.390818,3482828,0.479179563274442
"N-be75eec_150","N-be75eec_150","ACO",4,6865525,1027.088168,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",5,3463390,1026.390801,3482828,0.558109674092433
"N-be75eec_150","N-be75eec_150","ACO",5,6865525,1030.993268,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",6,3475044,1026.39081,3482828,0.223496537870949
"N-be75eec_150","N-be75eec_150","ACO",6,6865525,1027.923794,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",7,3467053,1026.390836,3482828,0.452936521700182
"N-be75eec_150","N-be75eec_150","ACO",7,6865525,1027.142884,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",8,3474234,1026.390808,3482828,0.24675350031641
"N-be75eec_150","N-be75eec_150","ACO",8,6865525,1031.971316,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",9,3470859,1026.390836,3482828,0.34365751050583
"N-be75eec_150","N-be75eec_150","ACO",9,6865525,1032.418395,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",10,3463109,1026.39082,3482828,0.566177830200056
"N-be75eec_150","N-be75eec_150","ACO",10,6865525,1028.744864,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",11,3474564,1026.390812,3482828,0.237278441542333
"N-be75eec_150","N-be75eec_150","ACO",11,6865525,1026.738567,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",12,3465357,1026.390857,3482828,0.501632581339073
"N-be75eec_150","N-be75eec_150","ACO",12,6865525,1031.387747,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",13,3463941,1026.390784,3482828,0.542289197169656
"N-be75eec_150","N-be75eec_150","ACO",13,6865525,1027.928011,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",14,3475193,1026.390812,3482828,0.219218405272956
"N-be75eec_150","N-be75eec_150","ACO",14,6865525,1027.221787,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",15,3470767,1026.390804,3482828,0.346299042042846
"N-be75eec_150","N-be75eec_150","ACO",15,6865525,1033.40989,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",16,3468073,1026.390785,3482828,0.42364997639849
"N-be75eec_150","N-be75eec_150","ACO",16,6865525,1033.005542,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",17,3472540,1026.390825,3482828,0.29539213535667
"N-be75eec_150","N-be75eec_150","ACO",17,6865525,1031.819315,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",18,3467527,1026.390797,3482828,0.43932689182469
"N-be75eec_150","N-be75eec_150","ACO",18,6865525,1027.371714,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",19,3464029,1026.390858,3482828,0.539762514829903
"N-be75eec_150","N-be75eec_150","ACO",19,6865525,1030.377849,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",20,3460718,1026.390845,3482828,0.634828937863139
"N-be75eec_150","N-be75eec_150","ACO",20,6865525,1030.930758,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",21,3466064,1026.390853,3482828,0.481332985723096
"N-be75eec_150","N-be75eec_150","ACO",21,6865525,1030.08816,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",22,3464625,1026.390794,3482828,0.522649984437934
"N-be75eec_150","N-be75eec_150","ACO",22,6865525,1029.107756,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",23,3466506,1026.390797,3482828,0.468642149425697
"N-be75eec_150","N-be75eec_150","ACO",23,6865525,1030.896502,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",24,3474998,1026.39084,3482828,0.224817303639456
"N-be75eec_150","N-be75eec_150","ACO",24,6865525,1029.485127,3482828,-97.1250087572513
"N-be75eec_150","N-be75eec_150","SA",25,3464144,1026.390798,3482828,0.536460600408633
"N-be75eec_150","N-be75eec_150","ACO",25,6865525,1028.552327,3482828,-97.1250087572513
"N-be75np_150","N-be75np_150","SA",1,7146233,1026.390847,7174325,0.391562969338579
"N-be75np_150","N-be75np_150","ACO",1,10111137,1037.753909,7174325,-40.9350287309259
"N-be75np_150","N-be75np_150","SA",2,7124646,1026.390782,7174325,0.692455387789095
"N-be75np_150","N-be75np_150","ACO",2,10230575,1038.685327,7174325,-42.5998264645106
"N-be75np_150","N-be75np_150","SA",3,7139161,1026.390855,7174325,0.490136702756008
"N-be75np_150","N-be75np_150","ACO",3,10248015,1039.198951,7174325,-42.8429155356079
"N-be75np_150","N-be75np_150","SA",4,7135943,1026.390836,7174325,0.534991096723385
"N-be75np_150","N-be75np_150","ACO",4,10634628,1028.088807,7174325,-48.2317569945605
"N-be75np_150","N-be75np_150","SA",5,7136274,1026.390809,7174325,0.530377422266206
"N-be75np_150","N-be75np_150","ACO",5,10495277,1035.295709,7174325,-46.2894000480881
"N-be75np_150","N-be75np_150","SA",6,7134348,1026.390825,7174325,0.557223153397706
"N-be75np_150","N-be75np_150","ACO",6,10387357,1041.049656,7174325,-44.7851470347385
"N-be75np_150","N-be75np_150","SA",7,7147985,1026.390797,7174325,0.367142553480641
"N-be75np_150","N-be75np_150","ACO",7,10184531,1039.487024,7174325,-41.9580378641893
"N-be75np_150","N-be75np_150","SA",8,7155167,1026.390822,7174325,0.267035574775327
"N-be75np_150","N-be75np_150","ACO",8,10338580,1033.636469,7174325,-44.10526425831
"N-be75np_150","N-be75np_150","SA",9,7143834,1026.39083,7174325,0.425001655207981
"N-be75np_150","N-be75np_150","ACO",9,9984098,1026.422059,7174325,-39.1642837479484
"N-be75np_150","N-be75np_150","SA",10,7154219,1026.390817,7174325,0.280249361438184
"N-be75np_150","N-be75np_150","ACO",10,10839523,1041.174401,7174325,-51.0877051151154
"N-be75np_150","N-be75np_150","SA",11,7152366,1026.390822,7174325,0.30607757524227
"N-be75np_150","N-be75np_150","ACO",11,10164782,1039.439508,7174325,-41.68276458064
"N-be75np_150","N-be75np_150","SA",12,7138730,1026.390851,7174325,0.496144236565809
"N-be75np_150","N-be75np_150","ACO",12,9879972,1041.137661,7174325,-37.7129137584372
"N-be75np_150","N-be75np_150","SA",13,7154475,1026.390828,7174325,0.276681081495472
"N-be75np_150","N-be75np_150","ACO",13,10613510,1038.275161,7174325,-47.9374017764737
"N-be75np_150","N-be75np_150","SA",14,7142820,1026.390776,7174325,0.439135389043569
"N-be75np_150","N-be75np_150","ACO",14,9765539,1029.124238,7174325,-36.1178786854512
"N-be75np_150","N-be75np_150","SA",15,7122790,1026.390799,7174325,0.71832541737376
"N-be75np_150","N-be75np_150","ACO",15,9771504,1028.963216,7174325,-36.2010223958351
"N-be75np_150","N-be75np_150","SA",16,7129634,1026.390839,7174325,0.622929683280309
"N-be75np_150","N-be75np_150","ACO",16,9965405,1030.184377,7174325,-38.9037296191628
"N-be75np_150","N-be75np_150","SA",17,7132221,1026.390857,7174325,0.586870541827977
"N-be75np_150","N-be75np_150","ACO",17,10224528,1040.88339,7174325,-42.5155397894575
"N-be75np_150","N-be75np_150","SA",18,7147129,1026.390821,7174325,0.379073989539086
"N-be75np_150","N-be75np_150","ACO",18,9894634,1034.078343,7174325,-37.9172814167186
"N-be75np_150","N-be75np_150","SA",19,7148649,1026.390862,7174325,0.357887327379231
"N-be75np_150","N-be75np_150","ACO",19,10330242,1040.596367,7174325,-43.9890442654884
"N-be75np_150","N-be75np_150","SA",20,7129248,1026.390834,7174325,0.62830998038143
"N-be75np_150","N-be75np_150","ACO",20,10058764,1028.471547,7174325,-40.2050227721772
"N-be75np_150","N-be75np_150","SA",21,7154917,1026.390831,7174325,0.270520223156882
"N-be75np_150","N-be75np_150","ACO",21,10349955,1036.530358,7174325,-44.2638157596708
"N-be75np_150","N-be75np_150","SA",22,7146701,1026.390823,7174325,0.385039707568308
"N-be75np_150","N-be75np_150","ACO",22,10511581,1026.838377,7174325,-46.5166548769396
"N-be75np_150","N-be75np_150","SA",23,7142749,1026.390842,7174325,0.44012502918393
"N-be75np_150","N-be75np_150","ACO",23,10312263,1039.591612,7174325,-43.7384422924805
"N-be75np_150","N-be75np_150","SA",24,7144374,1026.390876,7174325,0.417474814703822
"N-be75np_150","N-be75np_150","ACO",24,9879274,1033.124725,7174325,-37.7031846201559
"N-be75np_150","N-be75np_150","SA",25,7131433,1026.390799,7174325,0.597854153526638
"N-be75np_150","N-be75np_150","ACO",25,9915859,1027.255715,7174325,-38.2131280643127
