Instance;Algo;Seed;FinalCost;Time
N-be75eec_150;SA;1;3464984;1026.390821
N-be75eec_150;ACO;1;6865525;1027.333977
N-be75eec_150;SA;2;3464470;1026.390857
N-be75eec_150;ACO;2;6865525;1030.069175
N-be75eec_150;SA;3;3466726;1026.390822
N-be75eec_150;ACO;3;6865525;1031.542207
N-be75eec_150;SA;4;3466139;1026.390818
N-be75eec_150;ACO;4;6865525;1027.088168
N-be75eec_150;SA;5;3463390;1026.390801
N-be75eec_150;ACO;5;6865525;1030.993268
N-be75eec_150;SA;6;3475044;1026.390810
N-be75eec_150;ACO;6;6865525;1027.923794
N-be75eec_150;SA;7;3467053;1026.390836
N-be75eec_150;ACO;7;6865525;1027.142884
N-be75eec_150;SA;8;3474234;1026.390808
N-be75eec_150;ACO;8;6865525;1031.971316
N-be75eec_150;SA;9;3470859;1026.390836
N-be75eec_150;ACO;9;6865525;1032.418395
N-be75eec_150;SA;10;3463109;1026.390820
N-be75eec_150;ACO;10;6865525;1028.744864
N-be75eec_150;SA;11;3474564;1026.390812
N-be75eec_150;ACO;11;6865525;1026.738567
N-be75eec_150;SA;12;3465357;1026.390857
N-be75eec_150;ACO;12;6865525;1031.387747
N-be75eec_150;SA;13;3463941;1026.390784
N-be75eec_150;ACO;13;6865525;1027.928011
N-be75eec_150;SA;14;3475193;1026.390812
N-be75eec_150;ACO;14;6865525;1027.221787
N-be75eec_150;SA;15;3470767;1026.390804
N-be75eec_150;ACO;15;6865525;1033.409890
N-be75eec_150;SA;16;3468073;1026.390785
N-be75eec_150;ACO;16;6865525;1033.005542
N-be75eec_150;SA;17;3472540;1026.390825
N-be75eec_150;ACO;17;6865525;1031.819315
N-be75eec_150;SA;18;3467527;1026.390797
N-be75eec_150;ACO;18;6865525;1027.371714
N-be75eec_150;SA;19;3464029;1026.390858
N-be75eec_150;ACO;19;6865525;1030.377849
N-be75eec_150;SA;20;3460718;1026.390845
N-be75eec_150;ACO;20;6865525;1030.930758
N-be75eec_150;SA;21;3466064;1026.390853
N-be75eec_150;ACO;21;6865525;1030.088160
N-be75eec_150;SA;22;3464625;1026.390794
N-be75eec_150;ACO;22;6865525;1029.107756
N-be75eec_150;SA;23;3466506;1026.390797
N-be75eec_150;ACO;23;6865525;1030.896502
N-be75eec_150;SA;24;3474998;1026.390840
N-be75eec_150;ACO;24;6865525;1029.485127
N-be75eec_150;SA;25;3464144;1026.390798
N-be75eec_150;ACO;25;6865525;1028.552327
N-be75np_150;SA;1;7146233;1026.390847
N-be75np_150;ACO;1;10111137;1037.753909
N-be75np_150;SA;2;7124646;1026.390782
N-be75np_150;ACO;2;10230575;1038.685327
N-be75np_150;SA;3;7139161;1026.390855
N-be75np_150;ACO;3;10248015;1039.198951
N-be75np_150;SA;4;7135943;1026.390836
N-be75np_150;ACO;4;10634628;1028.088807
N-be75np_150;SA;5;7136274;1026.390809
N-be75np_150;ACO;5;10495277;1035.295709
N-be75np_150;SA;6;7134348;1026.390825
N-be75np_150;ACO;6;10387357;1041.049656
N-be75np_150;SA;7;7147985;1026.390797
N-be75np_150;ACO;7;10184531;1039.487024
N-be75np_150;SA;8;7155167;1026.390822
N-be75np_150;ACO;8;10338580;1033.636469
N-be75np_150;SA;9;7143834;1026.390830
N-be75np_150;ACO;9;9984098;1026.422059
N-be75np_150;SA;10;7154219;1026.390817
N-be75np_150;ACO;10;10839523;1041.174401
N-be75np_150;SA;11;7152366;1026.390822
N-be75np_150;ACO;11;10164782;1039.439508
N-be75np_150;SA;12;7138730;1026.390851
N-be75np_150;ACO;12;9879972;1041.137661
N-be75np_150;SA;13;7154475;1026.390828
N-be75np_150;ACO;13;10613510;1038.275161
N-be75np_150;SA;14;7142820;1026.390776
N-be75np_150;ACO;14;9765539;1029.124238
N-be75np_150;SA;15;7122790;1026.390799
N-be75np_150;ACO;15;9771504;1028.963216
N-be75np_150;SA;16;7129634;1026.390839
N-be75np_150;ACO;16;9965405;1030.184377
N-be75np_150;SA;17;7132221;1026.390857
N-be75np_150;ACO;17;10224528;1040.883390
N-be75np_150;SA;18;7147129;1026.390821
N-be75np_150;ACO;18;9894634;1034.078343
N-be75np_150;SA;19;7148649;1026.390862
N-be75np_150;ACO;19;10330242;1040.596367
N-be75np_150;SA;20;7129248;1026.390834
N-be75np_150;ACO;20;10058764;1028.471547
N-be75np_150;SA;21;7154917;1026.390831
N-be75np_150;ACO;21;10349955;1036.530358
N-be75np_150;SA;22;7146701;1026.390823
N-be75np_150;ACO;22;10511581;1026.838377
N-be75np_150;SA;23;7142749;1026.390842
N-be75np_150;ACO;23;10312263;1039.591612
N-be75np_150;SA;24;7144374;1026.390876
N-be75np_150;ACO;24;9879274;1033.124725
N-be75np_150;SA;25;7131433;1026.390799
N-be75np_150;ACO;25;9915859;1027.255715
