"Instance","Algo","Target","SuccessRate","MeanRPD","MinRPD","MaxRPD","MeanTime"
"N-be75eec_150","ACO",0.5,100,-97.125,-97.125,-97.125,1029.742
"N-be75eec_150","SA",0.5,60,0.4314,0.2192,0.6348,1026.3908
"N-be75np_150","ACO",0.5,100,-42.2247,-51.0877,-36.1179,1035.0115
"N-be75np_150","SA",0.5,64,0.4583,0.267,0.7183,1026.3908
"N-be75eec_150","ACO",0.25,100,-97.125,-97.125,-97.125,1029.742
"N-be75eec_150","SA",0.25,20,0.4314,0.2192,0.6348,1026.3908
"N-be75np_150","ACO",0.25,100,-42.2247,-51.0877,-36.1179,1035.0115
"N-be75np_150","SA",0.25,0,0.4583,0.267,0.7183,1026.3908
"N-be75eec_150","ACO",0.1,100,-97.125,-97.125,-97.125,1029.742
"N-be75eec_150","SA",0.1,0,0.4314,0.2192,0.6348,1026.3908
"N-be75np_150","ACO",0.1,100,-42.2247,-51.0877,-36.1179,1035.0115
"N-be75np_150","SA",0.1,0,0.4583,0.267,0.7183,1026.3908
