Instance;Init;Algo;Pivot;InitCost;FinalCost;Time
/root/Linear-Ordering-Problem/code/instances/N-be75eec_150;1;1;0;2757802;3471378;366.723215
/root/Linear-Ordering-Problem/code/instances/N-be75eec_150;0;2;0;0;3453328;374.753718
/root/Linear-Ordering-Problem/code/instances/N-be75np_150;1;1;0;5606444;7149175;366.723638
/root/Linear-Ordering-Problem/code/instances/N-be75np_150;0;2;0;0;7116891;370.324179
/root/Linear-Ordering-Problem/code/instances/N-be75oi_150;1;1;0;1885382;2240170;366.722426
/root/Linear-Ordering-Problem/code/instances/N-be75oi_150;0;2;0;0;2229651;377.435276
/root/Linear-Ordering-Problem/code/instances/N-be75tot_150;1;1;0;9420023;12242755;366.722273
/root/Linear-Ordering-Problem/code/instances/N-be75tot_150;0;2;0;0;12172706;370.944348
/root/Linear-Ordering-Problem/code/instances/N-stabu1_150;1;1;0;2282133;2863985;366.722225
/root/Linear-Ordering-Problem/code/instances/N-stabu1_150;0;2;0;0;2848387;369.793665
/root/Linear-Ordering-Problem/code/instances/N-stabu2_150;1;1;0;3383526;4317815;366.723038
/root/Linear-Ordering-Problem/code/instances/N-stabu2_150;0;2;0;0;4303099;373.285441
/root/Linear-Ordering-Problem/code/instances/N-stabu3_150;1;1;0;3514232;4483115;366.722256
/root/Linear-Ordering-Problem/code/instances/N-stabu3_150;0;2;0;0;4473477;368.007342
/root/Linear-Ordering-Problem/code/instances/N-t59b11xx_150;1;1;0;2479660;3217860;366.722418
/root/Linear-Ordering-Problem/code/instances/N-t59b11xx_150;0;2;0;0;3205030;373.217593
/root/Linear-Ordering-Problem/code/instances/N-t59d11xx_150;1;1;0;1126125;1460471;366.722184
/root/Linear-Ordering-Problem/code/instances/N-t59d11xx_150;0;2;0;0;1454562;369.754919
/root/Linear-Ordering-Problem/code/instances/N-t59f11xx_150;1;1;0;1189574;1534464;366.722400
/root/Linear-Ordering-Problem/code/instances/N-t59f11xx_150;0;2;0;0;1532092;369.556929
/root/Linear-Ordering-Problem/code/instances/N-t59n11xx_150;1;1;0;244784;318475;366.722158
/root/Linear-Ordering-Problem/code/instances/N-t59n11xx_150;0;2;0;0;316803;371.666200
/root/Linear-Ordering-Problem/code/instances/N-t65b11xx_150;1;1;0;5202210;6421123;366.722732
/root/Linear-Ordering-Problem/code/instances/N-t65b11xx_150;0;2;0;0;6399103;372.878925
/root/Linear-Ordering-Problem/code/instances/N-t65d11xx_150;1;1;0;2820173;3542554;366.722021
/root/Linear-Ordering-Problem/code/instances/N-t65d11xx_150;0;2;0;0;3511679;375.199041
/root/Linear-Ordering-Problem/code/instances/N-t65f11xx_150;1;1;0;2449999;3147842;366.722609
/root/Linear-Ordering-Problem/code/instances/N-t65f11xx_150;0;2;0;0;3128574;371.756791
/root/Linear-Ordering-Problem/code/instances/N-t65l11xx_150;1;1;0;210520;252365;366.721897
/root/Linear-Ordering-Problem/code/instances/N-t65l11xx_150;0;2;0;0;251647;369.632003
/root/Linear-Ordering-Problem/code/instances/N-t65n11xx_150;1;1;0;411247;548205;366.722116
/root/Linear-Ordering-Problem/code/instances/N-t65n11xx_150;0;2;0;0;544430;372.208364
/root/Linear-Ordering-Problem/code/instances/N-t69r11xx_150;1;1;0;8631096;11823337;366.721922
